  code       ,rgb             ,hex    ,name             
  17-1312 TPG,"rgb(152,139,121)",#988B79,Silver Mink      
  17-3808 TPG,"rgb(156,141,154)",#9C8D9A,Nirvana          
  16-3812 TPG,"rgb(153,147,177)",#9993B1,Heirloom Lilac   
  16-0430 TPG,"rgb(152,158,104)",#989E68,Fern             
  16-0726 TPG,"rgb(160,145,101)",#A09165,Khaki            
  16-4402 TPG,"rgb(152,153,152)",#989998,Drizzle          
  16-4703 TPG,"rgb(153,154,152)",#999A98,Ghost Gray       
  16-3922 TPG,"rgb(154,168,201)",#9AA8C9,Brunnera Blue    
  15-4702 TPG,"rgb(160,173,170)",#A0ADAA,Puritan Gray     
  15-5706 TPG,"rgb(161,180,167)",#A1B4A7,Frosty Green     
  14-4306 TPG,"rgb(157,181,185)",#9DB5B9,Cloud Blue       
  15-4707 TPG,"rgb(157,184,184)",#9DB8B8,Blue Haze        
  14-4313 TPG,"rgb(156,195,213)",#9CC3D5,Aquamarine       
  15-4005 TPG,"rgb(158,189,208)",#9EBDD0,Dream Blue       
  15-4105 TPG,"rgb(156,186,212)",#9CBAD4,Angel Falls      
  14-4809 TPG,"rgb(156,200,198)",#9CC8C6,Eggshell Blue    
  13-5911 TPG,"rgb(168,208,189)",#A8D0BD,Bird's Egg Green 
  13-4409 TPG,"rgb(171,210,220)",#ABD2DC,Blue Glow        
  13-4809 TPG,"rgb(164,209,217)",#A4D1D9,Plume            
  13-6009 TPG,"rgb(168,222,204)",#A8DECC,Brook Green      
  13-4909 TPG,"rgb(167,221,219)",#A7DDDB,Blue Light       
  12-4608 TPG,"rgb(171,214,223)",#ABD6DF,Clearwater       
  17-3023 TPG,"rgb(181,99,159) ",#B5639F,Rosebud          
  17-1137 TPG,"rgb(166,118,81) ",#A67651,Cashew           
  16-1414 TPG,"rgb(163,140,121)",#A38C79,Chanterelle      
  16-1412 TPG,"rgb(163,142,128)",#A38E80,Stucco           
  16-1110 TPG,"rgb(164,154,122)",#A49A7A,Olive Gray       
  16-1106 TPG,"rgb(161,153,133)",#A19985,Tuffet           
  16-1406 TPG,"rgb(162,151,143)",#A2978F,Atmosphere       
  16-5803 TPG,"rgb(157,157,152)",#9D9D98,Flint Gray       
  16-0000 TPG,"rgb(158,157,156)",#9E9D9C,Paloma           
  16-3304 TPG,"rgb(164,148,161)",#A494A1,Sea Fog          
  16-3850 TPG,"rgb(158,158,163)",#9E9EA3,Silver Sconce    
  16-3815 TPG,"rgb(168,147,189)",#A893BD,Viola            
  16-0806 TPG,"rgb(164,157,144)",#A49D90,Goat             
  16-1105 TPG,"rgb(166,158,140)",#A69E8C,Plaza Taupe      
  15-3915 TPG,"rgb(160,176,209)",#A0B0D1,Kentucky Blue    
  14-6408 TPG,"rgb(165,166,150)",#A5A696,Abbey Stone      
  15-6410 TPG,"rgb(170,169,148)",#AAA994,Moss Gray        
  16-0110 TPG,"rgb(163,172,155)",#A3AC9B,Desert Sage      
  15-5205 TPG,"rgb(162,174,168)",#A2AEA8,Aqua Gray        
  15-4704 TPG,"rgb(166,176,171)",#A6B0AB,Pigeon           
  15-3909 TPG,"rgb(165,168,196)",#A5A8C4,Cosmic Sky       
  14-4115 TPG,"rgb(161,181,208)",#A1B5D0,Cashmere Blue    
  14-4908 TPG,"rgb(166,194,187)",#A6C2BB,Harbor Gray      
  14-4307 TPG,"rgb(165,189,202)",#A5BDCA,Winter Sky       
  13-6110 TPG,"rgb(167,206,185)",#A7CEB9,Mist Green       
  13-5907 TPG,"rgb(174,206,190)",#AECEBE,Gossamer Green   
  13-5306 TPG,"rgb(173,210,208)",#ADD2D0,Icy Morn         
  13-0650 TPG,"rgb(210,212,49) ",#D2D431,Sulphur Spring   
  12-5410 TPG,"rgb(178,224,220)",#B2E0DC,Bleached Aqua    
  13-0116 TPG,"rgb(178,212,178)",#B2D4B2,Pastel Green     
  16-3320 TPG,"rgb(190,129,182)",#BE81B6,Violet           
  17-1226 TPG,"rgb(168,133,110)",#A8856E,Tawny Brown      
  17-1227 TPG,"rgb(169,131,110)",#A9836E,Café au Lait     
  17-1514 TPG,"rgb(178,130,130)",#B28282,Ash Rose         
  16-1126 TPG,"rgb(169,146,96) ",#A99260,Antelope         
  17-1223 TPG,"rgb(169,139,116)",#A98B74,Praline          
  16-1104 TPG,"rgb(163,152,136)",#A39888,Crockery         
  16-1407 TPG,"rgb(165,154,139)",#A59A8B,Cobblestone      
  16-1506 TPG,"rgb(167,149,146)",#A79592,Bark             
  16-1707 TPG,"rgb(173,146,148)",#AD9294,Deauville Mauve  
  16-0730 TPG,"rgb(182,161,102)",#B6A166,Antique Gold     
  15-1114 TPG,"rgb(175,156,131)",#AF9C83,Travertine       
  16-0906 TPG,"rgb(171,160,147)",#ABA093,Simply Taupe     
  15-0318 TPG,"rgb(175,172,135)",#AFAC87,Sage Green       
  15-0525 TPG,"rgb(178,173,127)",#B2AD7F,Weeping Willow   
  15-0513 TPG,"rgb(173,168,144)",#ADA890,Eucalyptus       
  15-0309 TPG,"rgb(173,167,147)",#ADA793,Spray Green      
  15-0000 TPG,"rgb(173,168,164)",#ADA8A4,Dove             
  15-0703 TPG,"rgb(178,171,172)",#B2ABAC,Ashes of Roses   
  15-4101 TPG,"rgb(170,177,179)",#AAB1B3,High-rise        
  15-0523 TPG,"rgb(174,179,133)",#AEB385,Winter Pear      
  15-6313 TPG,"rgb(168,184,158)",#A8B89E,Laurel Green     
  15-5704 TPG,"rgb(176,182,174)",#B0B6AE,Mineral Gray     
  15-4003 TPG,"rgb(176,184,180)",#B0B8B4,Storm Gray       
  14-0114 TPG,"rgb(177,193,162)",#B1C1A2,Celadon Green    
  14-4807 TPG,"rgb(171,196,192)",#ABC4C0,Surf Spray       
  13-6108 TPG,"rgb(180,202,183)",#B4CAB7,Celadon          
  14-6008 TPG,"rgb(175,201,186)",#AFC9BA,Subtle Green     
  12-5808 TPG,"rgb(184,227,210)",#B8E3D2,Honeydew         
