  code             ,rgb             ,hex    ,name
  527 U            ,"rgb(147,97,176) ",#9361B0,    
  528 U            ,"rgb(184,137,210)",#B889D2,    
  529 U            ,"rgb(206,165,225)",#CEA5E1,    
  530 U            ,"rgb(219,185,232)",#DBB9E8,    
  531 U            ,"rgb(228,199,235)",#E4C7EB,    
  532 U            ,"rgb(91,92,100)  ",#5B5C64,    
  533 U            ,"rgb(94,101,120) ",#5E6578,    
  534 U            ,"rgb(91,105,131) ",#5B6983,    
  535 U            ,"rgb(140,157,184)",#8C9DB8,    
  536 U            ,"rgb(164,181,203)",#A4B5CB,    
  537 U            ,"rgb(189,202,218)",#BDCADA,    
  538 U            ,"rgb(205,215,225)",#CDD7E1,    
  539 U            ,"rgb(70,80,98)   ",#465062,    
  540 U            ,"rgb(63,82,111)  ",#3F526F,    
  541 U            ,"rgb(58,85,124)  ",#3A557C,    
  542 U            ,"rgb(105,156,198)",#699CC6,    
  543 U            ,"rgb(121,171,210)",#79ABD2,    
  544 U            ,"rgb(151,193,223)",#97C1DF,    
  545 U            ,"rgb(174,207,230)",#AECFE6,    
  546 U            ,"rgb(70,80,88)   ",#465058,    
  547 U            ,"rgb(65,88,102)  ",#415866,    
  548 U            ,"rgb(62,94,111)  ",#3E5E6F,    
  549 U            ,"rgb(104,153,174)",#6899AE,    
  550 U            ,"rgb(122,170,190)",#7AAABE,    
  551 U            ,"rgb(150,192,206)",#96C0CE,    
  552 U            ,"rgb(176,208,220)",#B0D0DC,    
  553 U            ,"rgb(90,104,93)  ",#5A685D,    
  554 U            ,"rgb(87,117,101) ",#577565,    
  555 U            ,"rgb(86,126,106) ",#567E6A,    
  556 U            ,"rgb(113,158,139)",#719E8B,    
  557 U            ,"rgb(136,178,159)",#88B29F,    
  558 U            ,"rgb(154,192,174)",#9AC0AE,    
  559 U            ,"rgb(181,209,192)",#B5D1C0,    
  560 U            ,"rgb(75,94,91)   ",#4B5E5B,    
  561 U            ,"rgb(70,109,105) ",#466D69,    
  562 U            ,"rgb(67,128,122) ",#43807A,    
  563 U            ,"rgb(118,185,175)",#76B9AF,    
  564 U            ,"rgb(136,198,188)",#88C6BC,    
  565 U            ,"rgb(145,209,197)",#91D1C5,    
  566 U            ,"rgb(180,225,214)",#B4E1D6,    
  567 U            ,"rgb(74,99,93)   ",#4A635D,    
  568 U            ,"rgb(69,128,117) ",#458075,    
  569 U            ,"rgb(44,143,130) ",#2C8F82,    
  570 U            ,"rgb(98,194,177) ",#62C2B1,    
  571 U            ,"rgb(133,216,200)",#85D8C8,    
  572 U            ,"rgb(149,222,207)",#95DECF,    
  573 U            ,"rgb(187,233,222)",#BBE9DE,    
  574 U            ,"rgb(106,115,85) ",#6A7355,    
  575 U            ,"rgb(111,132,86) ",#6F8456,    
  576 U            ,"rgb(122,155,98) ",#7A9B62,    
  577 U            ,"rgb(147,180,121)",#93B479,    
  578 U            ,"rgb(167,197,142)",#A7C58E,    
  579 U            ,"rgb(186,210,158)",#BAD29E,    
  580 U            ,"rgb(201,220,172)",#C9DCAC,    
  581 U            ,"rgb(120,117,74) ",#78754A,    
  582 U            ,"rgb(145,145,69) ",#919145,    
  583 U            ,"rgb(166,179,64) ",#A6B340,    
  584 U            ,"rgb(206,214,101)",#CED665,    
  585 U            ,"rgb(227,230,133)",#E3E685,    
  586 U            ,"rgb(231,233,136)",#E7E988,    
  587 U            ,"rgb(234,236,151)",#EAEC97,    
  600 U            ,"rgb(249,242,157)",#F9F29D,    
  601 U            ,"rgb(247,239,143)",#F7EF8F,    
  602 U            ,"rgb(247,238,131)",#F7EE83,    
  603 U            ,"rgb(243,229,100)",#F3E564,    
  604 U            ,"rgb(237,220,77) ",#EDDC4D,    
  605 U            ,"rgb(224,204,57) ",#E0CC39,    
  606 U            ,"rgb(206,184,41) ",#CEB829,    
