  code   ,rgb             ,hex    ,name
  8524 C ,"rgb(51,73,72)   ",#334948,    
  8525 C ,"rgb(56,81,83)   ",#385153,    
  8540 C ,"rgb(132,74,79)  ",#844A4F,    
  8541 C ,"rgb(109,65,70)  ",#6D4146,    
  8542 C ,"rgb(98,46,55)   ",#622E37,    
  8543 C ,"rgb(91,48,67)   ",#5B3043,    
  8544 C ,"rgb(97,57,81)   ",#613951,    
  8545 C ,"rgb(97,60,86)   ",#613C56,    
  8560 C ,"rgb(121,76,60)  ",#794C3C,    
  8561 C ,"rgb(118,66,66)  ",#764242,    
  8562 C ,"rgb(113,58,66)  ",#713A42,    
  8563 C ,"rgb(114,67,63)  ",#72433F,    
  8564 C ,"rgb(119,75,75)  ",#774B4B,    
  8565 C ,"rgb(118,78,80)  ",#764E50,    
  8580 C ,"rgb(148,107,58) ",#946B3A,    
  8581 C ,"rgb(131,89,49)  ",#835931,    
  8582 C ,"rgb(124,82,42)  ",#7C522A,    
  8583 C ,"rgb(109,67,30)  ",#6D431E,    
  8584 C ,"rgb(108,71,39)  ",#6C4727,    
  8585 C ,"rgb(113,78,48)  ",#714E30,    
  8600 C ,"rgb(91,86,82)   ",#5B5652,    
  8601 C ,"rgb(76,68,65)   ",#4C4441,    
  8602 C ,"rgb(61,58,62)   ",#3D3A3E,    
  8603 C ,"rgb(47,48,58)   ",#2F303A,    
  8604 C ,"rgb(51,58,73)   ",#333A49,    
  8605 C ,"rgb(57,67,84)   ",#394354,    
  8620 C ,"rgb(118,92,64)  ",#765C40,    
  8621 C ,"rgb(97,76,55)   ",#614C37,    
  8622 C ,"rgb(82,66,50)   ",#524232,    
  8623 C ,"rgb(67,58,50)   ",#433A32,    
  8624 C ,"rgb(67,61,55)   ",#433D37,    
  8625 C ,"rgb(69,64,59)   ",#45403B,    
  8640 C ,"rgb(157,124,47) ",#9D7C2F,    
  8641 C ,"rgb(168,134,34) ",#A88622,    
  8642 C ,"rgb(172,138,11) ",#AC8A0B,    
  8643 C ,"rgb(173,137,0)  ",#AD8900,    
  8644 C ,"rgb(171,145,19) ",#AB9113,    
  8645 C ,"rgb(166,148,42) ",#A6942A,    
  8660 C ,"rgb(142,120,49) ",#8E7831,    
  8661 C ,"rgb(136,124,27) ",#887C1B,    
  8662 C ,"rgb(135,129,27) ",#87811B,    
  8663 C ,"rgb(127,133,10) ",#7F850A,    
  8664 C ,"rgb(133,144,38) ",#859026,    
  8665 C ,"rgb(132,147,55) ",#849337,    
  8680 C ,"rgb(122,114,60) ",#7A723C,    
  8681 C ,"rgb(120,124,50) ",#787C32,    
  8682 C ,"rgb(107,127,42) ",#6B7F2A,    
  8683 C ,"rgb(95,135,36)  ",#5F8724,    
  8684 C ,"rgb(94,136,50)  ",#5E8832,    
  8685 C ,"rgb(98,141,65)  ",#628D41,    
  8700 C ,"rgb(113,116,76) ",#71744C,    
  8701 C ,"rgb(104,121,66) ",#687942,    
  8702 C ,"rgb(88,125,63)  ",#587D3F,    
  8703 C ,"rgb(65,128,60)  ",#41803C,    
  8704 C ,"rgb(71,136,78)  ",#47884E,    
  8705 C ,"rgb(75,141,89)  ",#4B8D59,    
  8720 C ,"rgb(78,110,86)  ",#4E6E56,    
  8721 C ,"rgb(85,117,85)  ",#557555,    
  8722 C ,"rgb(58,116,86)  ",#3A7456,    
  8723 C ,"rgb(32,128,92)  ",#20805C,    
  8724 C ,"rgb(43,136,109) ",#2B886D,    
  8725 C ,"rgb(49,140,118) ",#318C76,    
  8740 C ,"rgb(69,104,94)  ",#45685E,    
  8741 C ,"rgb(44,104,84)  ",#2C6854,    
  8742 C ,"rgb(44,106,94)  ",#2C6A5E,    
  8743 C ,"rgb(0,106,103)  ",#006A67,    
  8744 C ,"rgb(0,114,118)  ",#007276,    
  8745 C ,"rgb(9,120,129)  ",#097881,    
  8760 C ,"rgb(35,98,97)   ",#236261,    
  8761 C ,"rgb(0,95,104)   ",#005F68,    
  8762 C ,"rgb(41,91,101)  ",#295B65,    
  8763 C ,"rgb(0,84,108)   ",#00546C,    
  8764 C ,"rgb(6,95,124)   ",#065F7C,    
  8765 C ,"rgb(28,103,135) ",#1C6787,    
  8780 C ,"rgb(63,58,96)   ",#3F3A60,    
  8781 C ,"rgb(58,67,93)   ",#3A435D,    
  8782 C ,"rgb(50,53,114)  ",#323572,    
  8783 C ,"rgb(29,54,109)  ",#1D366D,    
  8784 C ,"rgb(38,67,123)  ",#26437B,    
  8785 C ,"rgb(48,76,134)  ",#304C86,    
  8800 C ,"rgb(88,54,89)   ",#583659,    
  8801 C ,"rgb(82,55,95)   ",#52375F,    
  8802 C ,"rgb(70,43,99)   ",#462B63,    
  8803 C ,"rgb(78,41,96)   ",#4E2960,    
  8804 C ,"rgb(82,52,110)  ",#52346E,    
  8805 C ,"rgb(87,62,122)  ",#573E7A,    
  8820 C ,"rgb(135,62,94)  ",#873E5E,    
  8821 C ,"rgb(131,46,93)  ",#832E5D,    
  8822 C ,"rgb(109,53,102) ",#6D3566,    
  8823 C ,"rgb(98,38,102)  ",#622666,    
  8824 C ,"rgb(101,52,116) ",#653474,    
  8825 C ,"rgb(101,54,126) ",#65367E,    
  8840 C ,"rgb(142,61,86)  ",#8E3D56,    
  8841 C ,"rgb(140,46,85)  ",#8C2E55,    
  8842 C ,"rgb(140,28,89)  ",#8C1C59,    
  8843 C ,"rgb(130,27,96)  ",#821B60,    
  8844 C ,"rgb(129,40,109) ",#81286D,    
  8845 C ,"rgb(127,55,118) ",#7F3776,    
  8860 C ,"rgb(151,69,66)  ",#974542,    
  8861 C ,"rgb(146,60,71)  ",#923C47,    
  8862 C ,"rgb(150,45,71)  ",#962D47,    
  8863 C ,"rgb(150,29,64)  ",#961D40,    
  8864 C ,"rgb(147,42,81)  ",#932A51,    
  8865 C ,"rgb(144,55,94)  ",#90375E,    
  8880 C ,"rgb(149,78,76)  ",#954E4C,    
  8881 C ,"rgb(155,65,82)  ",#9B4152,    
  8882 C ,"rgb(165,52,91)  ",#A5345B,    
  8883 C ,"rgb(168,52,64)  ",#A83440,    
  8884 C ,"rgb(163,61,75)  ",#A33D4B,    
  8885 C ,"rgb(160,69,85)  ",#A04555,    
  8900 C ,"rgb(163,81,56)  ",#A35138,    
  8901 C ,"rgb(181,80,60)  ",#B5503C,    
  8902 C ,"rgb(183,80,79)  ",#B7504F,    
  8903 C ,"rgb(189,70,73)  ",#BD4649,    
  8904 C ,"rgb(188,78,87)  ",#BC4E57,    
