  code            ,rgb             ,hex    ,name
  390 CP          ,"rgb(188,198,0)  ",#BCC600,    
  391 CP          ,"rgb(155,153,18) ",#9B9912,    
  392 CP          ,"rgb(134,129,24) ",#868118,    
  393 CP          ,"rgb(236,230,131)",#ECE683,    
  394 CP          ,"rgb(237,228,97) ",#EDE461,    
  395 CP          ,"rgb(232,223,47) ",#E8DF2F,    
  396 CP          ,"rgb(230,221,1)  ",#E6DD01,    
  397 CP          ,"rgb(192,185,0)  ",#C0B900,    
  398 CP          ,"rgb(179,167,0)  ",#B3A700,    
  399 CP          ,"rgb(160,148,7)  ",#A09407,    
  400 CP          ,"rgb(198,192,182)",#C6C0B6,    
  401 CP          ,"rgb(173,168,159)",#ADA89F,    
  402 CP          ,"rgb(156,149,140)",#9C958C,    
  403 CP          ,"rgb(136,129,120)",#888178,    
  404 CP          ,"rgb(116,109,101)",#746D65,    
  405 CP          ,"rgb(98,91,84)   ",#625B54,    
  406 CP          ,"rgb(203,196,189)",#CBC4BD,    
  407 CP          ,"rgb(179,170,164)",#B3AAA4,    
  408 CP          ,"rgb(159,147,140)",#9F938C,    
  409 CP          ,"rgb(139,128,122)",#8B807A,    
  410 CP          ,"rgb(122,109,104)",#7A6D68,    
  411 CP          ,"rgb(94,83,78)   ",#5E534E,    
  412 CP          ,"rgb(58,52,49)   ",#3A3431,    
  413 CP          ,"rgb(199,198,187)",#C7C6BB,    
  414 CP          ,"rgb(175,175,163)",#AFAFA3,    
  415 CP          ,"rgb(146,147,136)",#929388,    
  416 CP          ,"rgb(123,125,114)",#7B7D72,    
  417 CP          ,"rgb(99,101,90)  ",#63655A,    
  418 CP          ,"rgb(85,87,76)   ",#55574C,    
  419 CP          ,"rgb(36,39,33)   ",#242721,    
  420 CP          ,"rgb(213,212,208)",#D5D4D0,    
  421 CP          ,"rgb(184,185,183)",#B8B9B7,    
  422 CP          ,"rgb(165,167,168)",#A5A7A8,    
  423 CP          ,"rgb(147,150,148)",#939694,    
  424 CP          ,"rgb(120,123,126)",#787B7E,    
  425 CP          ,"rgb(79,87,92)   ",#4F575C,    
  426 CP          ,"rgb(37,40,43)   ",#25282B,    
  427 CP          ,"rgb(216,218,217)",#D8DAD9,    
  428 CP          ,"rgb(201,206,209)",#C9CED1,    
  429 CP          ,"rgb(169,176,183)",#A9B0B7,    
  430 CP          ,"rgb(133,143,152)",#858F98,    
  431 CP          ,"rgb(93,106,118) ",#5D6A76,    
  432 CP          ,"rgb(60,70,82)   ",#3C4652,    
  433 CP          ,"rgb(40,46,54)   ",#282E36,    
  434 CP          ,"rgb(210,201,200)",#D2C9C8,    
  435 CP          ,"rgb(193,183,187)",#C1B7BB,    
  436 CP          ,"rgb(176,162,170)",#B0A2AA,    
  437 CP          ,"rgb(126,110,118)",#7E6E76,    
  438 CP          ,"rgb(85,72,72)   ",#554848,    
  439 CP          ,"rgb(71,64,65)   ",#474041,    
  440 CP          ,"rgb(61,56,54)   ",#3D3836,    
  441 CP          ,"rgb(191,205,200)",#BFCDC8,    
  442 CP          ,"rgb(172,183,178)",#ACB7B2,    
  443 CP          ,"rgb(152,163,165)",#98A3A5,    
  444 CP          ,"rgb(118,134,135)",#768687,    
  445 CP          ,"rgb(85,95,96)   ",#555F60,    
  446 CP          ,"rgb(76,83,81)   ",#4C5351,    
  447 CP          ,"rgb(68,70,66)   ",#444642,    
  448 CP          ,"rgb(78,67,40)   ",#4E4328,    
  449 CP          ,"rgb(89,77,48)   ",#594D30,    
  450 CP          ,"rgb(92,78,40)   ",#5C4E28,    
  451 CP          ,"rgb(165,157,109)",#A59D6D,    
  452 CP          ,"rgb(179,171,127)",#B3AB7F,    
  453 CP          ,"rgb(200,192,154)",#C8C09A,    
  454 CP          ,"rgb(209,205,170)",#D1CDAA,    
  455 CP          ,"rgb(109,93,43)  ",#6D5D2B,    
  456 CP          ,"rgb(164,141,28) ",#A48D1C,    
  457 CP          ,"rgb(180,152,29) ",#B4981D,    
  458 CP          ,"rgb(224,209,96) ",#E0D160,    
  459 CP          ,"rgb(228,215,119)",#E4D777,    
  460 CP          ,"rgb(237,223,140)",#EDDF8C,    
  461 CP          ,"rgb(239,228,158)",#EFE49E,    
  462 CP          ,"rgb(100,79,51)  ",#644F33,    
  463 CP          ,"rgb(127,86,33)  ",#7F5621,    
  464 CP          ,"rgb(145,98,36)  ",#916224,    
  465 CP          ,"rgb(187,153,89) ",#BB9959,    
  466 CP          ,"rgb(201,172,122)",#C9AC7A,    
  467 CP          ,"rgb(212,191,147)",#D4BF93,    
  468 CP          ,"rgb(222,203,153)",#DECB99,    
  469 CP          ,"rgb(101,62,37)  ",#653E25,    
  470 CP          ,"rgb(167,99,44)  ",#A7632C,    
  471 CP          ,"rgb(186,106,47) ",#BA6A2F,    
  472 CP          ,"rgb(230,166,115)",#E6A673,    
  473 CP          ,"rgb(240,191,155)",#F0BF9B,    
  474 CP          ,"rgb(242,201,167)",#F2C9A7,    
  475 CP          ,"rgb(243,208,178)",#F3D0B2,    
  476 CP          ,"rgb(84,60,46)   ",#543C2E,    
  477 CP          ,"rgb(105,68,52)  ",#694434,    
  478 CP          ,"rgb(119,71,51)  ",#774733,    
  479 CP          ,"rgb(173,133,109)",#AD856D,    
  480 CP          ,"rgb(200,171,153)",#C8AB99,    
  481 CP          ,"rgb(209,184,166)",#D1B8A6,    
  482 CP          ,"rgb(219,198,183)",#DBC6B7,    
  483 CP          ,"rgb(101,59,46)  ",#653B2E,    
  484 CP          ,"rgb(163,62,46)  ",#A33E2E,    
  485 CP          ,"rgb(220,66,52)  ",#DC4234,    
  486 CP          ,"rgb(232,149,124)",#E8957C,    
  487 CP          ,"rgb(236,170,144)",#ECAA90,    
  488 CP          ,"rgb(240,192,172)",#F0C0AC,    
  489 CP          ,"rgb(243,208,186)",#F3D0BA,    
  490 CP          ,"rgb(96,50,40)   ",#603228,    
  491 CP          ,"rgb(126,61,60)  ",#7E3D3C,    
  492 CP          ,"rgb(142,67,68)  ",#8E4344,    
  493 CP          ,"rgb(218,142,160)",#DA8EA0,    
  494 CP          ,"rgb(233,165,183)",#E9A5B7,    
  495 CP          ,"rgb(237,191,203)",#EDBFCB,    
  496 CP          ,"rgb(239,198,208)",#EFC6D0,    
  497 CP          ,"rgb(84,52,44)   ",#54342C,    
